track_genre,track_count,unique_tracks,mean_danceability,mean_energy,mean_loudness,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_liveness,mean_valence,mean_tempo,mean_popularity,pct_euphoric,pct_peaceful,pct_aggressive,pct_melancholic
kids,991,991,0.7786296670030272,0.6135636730575177,-8.108648839556004,0.1534302724520686,0.2391801828456105,0.019836951291624622,0.1723454086781029,0.6814791120080728,121.78339757820383,14.940464177598386,58.72855701311806,19.27346115035318,12.008072653884964,9.989909182643794
latin,990,990,0.7214101010101011,0.7271444444444445,-5.271796969696969,0.09274111111111111,0.18403488383838384,0.009269433757575758,0.1748427272727273,0.6320969696969696,119.82855151515152,8.363636363636363,73.73737373737373,2.1212121212121215,20.909090909090907,3.2323232323232323
latino,993,993,0.7573957703927493,0.730757804632427,-5.18513192346425,0.1146515609264854,0.17309811681772405,0.008108938902316213,0.17207522658610272,0.6287530715005035,119.37071802618328,25.826787512588115,75.02517623363545,1.6112789526686808,22.557905337361532,0.8056394763343404
malay,999,999,0.6286036036036037,0.5783089089089088,-8.373361361361361,0.08100900900900901,0.40427437137137134,0.008860065815815816,0.1731914914914915,0.5011750750750751,119.30001101101101,30.36736736736737,37.73773773773774,10.31031031031031,26.526526526526528,25.425425425425423
mandopop,1000,1000,0.546532,0.4984339,-8.176785,0.039487499999999995,0.4802883056,0.00370946679,0.1593046,0.35016430000000004,123.47590600000001,45.025,11.899999999999999,5.1,35.4,47.599999999999994
metal,998,998,0.46432765531062126,0.8405020040080161,-5.425766533066132,0.070312625250501,0.03709439743486974,0.06468877443887776,0.20526563126252503,0.4182951903807615,127.91924749498997,43.67835671342685,35.07014028056113,0.2004008016032064,61.82364729458918,2.905811623246493
metalcore,1000,1000,0.4238,0.914485,-4.457694,0.1102598,0.01028572868,0.04569473931,0.25818040000000003,0.31490179999999995,130.580195,43.477,14.099999999999998,0.0,85.0,0.8999999999999999
minimal-techno,998,998,0.729315631262525,0.6798997995991983,-9.78044388777555,0.06260881763527054,0.07106361489979961,0.7450325460320641,0.1352941883767535,0.2831745490981964,124.75148296593186,34.01803607214429,14.32865731462926,2.3046092184368736,68.5370741482966,14.829659318637276
mpb,1000,1000,0.5740879999999999,0.5797871706,-9.110408,0.0565688,0.420858189,0.01545886196,0.33946390000000004,0.5564338,120.16105499999999,40.792,46.5,12.0,18.6,22.900000000000002
new-age,994,994,0.3480016096579477,0.2138720523138833,-18.524356136820924,0.04570533199195171,0.8243605855130784,0.7146185298692153,0.1993407444668008,0.1827327967806841,107.91794969818913,29.061368209255534,4.124748490945674,2.2132796780684103,7.142857142857142,86.51911468812877
opera,992,992,0.31321683467741934,0.3165232862903226,-13.590145161290323,0.04643185483870968,0.796137584233871,0.16410835226814516,0.22014425403225804,0.21479657258064516,105.59264919354838,24.632056451612904,3.8306451612903225,3.931451612903226,14.012096774193546,78.2258064516129
pagode,1000,1000,0.577723,0.7121230000000001,-7.268763,0.0627869,0.53837212,0.0005657869,0.5198638,0.687978,126.859308,44.298,80.7,3.0,13.100000000000001,3.2
party,994,994,0.6671569416498994,0.8713490945674044,-4.411034205231388,0.08739678068410463,0.09245036780684104,0.0016971387223340042,0.2876666498993964,0.6811789738430584,131.32309054325955,21.033199195171026,79.77867203219316,1.1066398390342052,19.014084507042252,0.1006036217303823
piano,998,998,0.45526182364729456,0.32060066533066134,-16.99564128256513,0.04683957915831663,0.7044097324649299,0.5156091156513026,0.1449490981963928,0.313713627254509,118.05614929859719,45.27755511022044,13.326653306613226,4.709418837675351,17.234468937875754,64.72945891783567
pop,993,993,0.6304078549848943,0.6055015105740181,-6.970699899295065,0.08017381671701913,0.3457721047331319,0.00908977113796576,0.15798479355488418,0.5069311178247734,120.88139879154079,47.903323262839876,43.101711983887206,6.747230614300101,29.909365558912388,20.241691842900302
pop-film,999,999,0.5972602602602602,0.6043852852852852,-7.873569569569569,0.06407657657657657,0.4407874034034034,0.00813184045045045,0.1664374374374374,0.5289812812812813,117.29098698698698,59.28028028028028,43.84384384384384,10.81081081081081,24.524524524524523,20.82082082082082
power-pop,996,996,0.4735230923694779,0.8014618473895582,-6.685469879518072,0.05790562248995984,0.08581594973895583,0.06414307299196786,0.22240883534136546,0.6149126506024096,134.60367068273092,26.923694779116467,66.56626506024097,3.313253012048193,26.00401606425703,4.116465863453815
progressive-house,999,999,0.6239529529529529,0.8132432432432432,-5.422194194194194,0.06763913913913915,0.06142006645645645,0.20068296815815817,0.2093932932932933,0.36532642642642643,125.09072872872873,46.66166166166166,27.52752752752753,0.20020020020020018,71.77177177177178,0.5005005005005005
psych-rock,996,996,0.5025160642570281,0.5617658634538153,-9.98738453815261,0.047374598393574295,0.3154427891967872,0.09218362175702811,0.20320050200803214,0.5636746987951807,121.53349297188754,42.89859437751004,42.46987951807229,15.160642570281125,17.269076305220885,25.100401606425706
punk,999,999,0.4996556556556557,0.8097447447447447,-5.7296476476476474,0.06421511511511513,0.08920961806806807,0.03892467915915916,0.21604414414414416,0.5556803803803804,133.60912212212213,38.292292292292295,57.15715715715716,2.8028028028028027,35.23523523523524,4.804804804804805
punk-rock,1000,1000,0.507329,0.80998,-5.916501,0.0635081,0.08259563991999999,0.03218837353,0.23666890000000002,0.5669669,132.219025,38.236,59.3,2.3,33.2,5.2
